,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
125,383,2,90,0,0,0,2,0,0,0,0,0,18,37.2,0.0,0.0,3.7,55,2,0
126,383,3,90,0,0,0,1,0,0,0,0,0,7,0.0,0.0,0.0,0.0,55,2,0
127,393,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
128,393,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
129,393,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
130,482,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
131,482,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
132,482,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
133,56,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
134,56,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
135,56,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
136,417,1,90,0,0,0,3,0,0,0,0,0,16,31.2,0.0,0.0,3.1,45,2,0
137,417,2,90,0,0,0,5,0,0,0,0,0,14,14.0,0.0,0.0,1.4,45,0,0
138,417,3,90,0,0,0,3,0,0,0,0,0,23,46.6,0.0,0.0,4.7,45,3,0
139,429,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
140,429,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
141,429,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
142,430,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
143,430,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
144,430,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
145,431,1,90,0,0,0,2,0,0,0,0,0,9,5.0,0.0,0.0,0.5,50,1,0
146,431,2,90,0,0,0,2,0,0,0,0,0,12,7.6,0.0,0.0,0.8,50,1,0
147,431,3,90,0,0,1,0,0,0,0,0,0,26,0.0,0.0,0.0,0.0,50,7,1
148,433,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
149,433,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
150,433,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
151,453,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
152,453,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
153,453,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
154,455,1,90,0,0,1,0,0,0,0,0,0,23,11.2,0.0,0.0,1.1,55,6,1
155,455,2,90,0,0,0,3,0,0,0,0,0,21,38.0,0.0,0.0,3.8,55,3,0
156,455,3,90,0,0,0,4,0,0,0,0,0,17,0.0,0.0,0.0,0.0,55,1,0
157,472,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
158,472,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
159,472,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
