,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
54,46,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
55,47,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
56,47,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
57,496,2,90,0,0,1,0,0,0,1,0,0,27,19.0,33.9,16.0,6.9,50,5,0
58,496,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
59,58,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
60,58,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
61,58,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
62,61,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
63,61,2,32,0,0,0,0,0,0,0,0,0,4,2.8,1.8,0.0,0.5,45,1,0
64,61,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
65,62,1,90,0,0,0,3,0,0,0,0,0,16,20.4,1.2,7.0,2.9,50,1,0
66,62,2,90,0,0,1,0,0,0,0,0,1,26,18.8,0.8,0.0,2.0,50,7,1
68,63,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
69,63,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
70,63,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
71,66,1,90,0,0,0,3,0,0,0,0,0,14,14.8,11.8,1.0,2.8,45,1,0
72,66,2,90,0,0,1,0,0,0,0,0,0,21,10.0,1.0,0.0,1.1,45,6,1
73,66,3,90,0,0,0,3,0,0,0,0,0,12,12.4,0.8,17.0,3.0,45,1,0
74,67,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
75,67,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
76,67,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
77,73,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
78,73,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
79,73,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
80,74,1,78,0,0,0,3,0,0,0,0,0,16,14.2,0.8,0.0,1.5,45,1,0
81,74,2,90,0,0,1,0,0,0,0,0,0,21,12.8,3.8,0.0,1.7,45,6,1
82,74,3,90,0,0,0,3,0,0,1,0,0,14,22.6,17.0,2.0,4.2,45,0,0
83,75,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
84,75,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
85,75,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
86,77,1,90,0,1,0,3,0,0,1,0,0,22,33.8,27.3,20.0,8.1,45,3,0
87,77,2,57,0,1,0,0,0,0,0,0,0,12,4.8,0.9,21.0,2.7,45,4,0
88,77,3,90,0,1,0,3,0,0,0,0,0,21,10.0,2.5,2.0,1.5,46,4,0
89,81,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
90,81,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
92,82,3,90,0,0,0,1,0,0,1,0,0,10,12.8,10.1,0.0,2.3,45,1,0
94,83,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
95,85,2,90,0,0,0,4,0,0,0,0,0,11,22.8,10.2,6.0,3.9,45,0,0
96,85,3,90,0,0,0,1,0,0,0,0,0,12,24.2,0.4,4.0,2.9,45,2,0
97,88,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
98,88,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
99,92,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
100,92,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
101,94,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
102,94,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
103,97,2,90,0,1,0,4,0,0,0,0,0,23,29.6,29.3,2.0,6.1,45,3,0
104,97,3,90,0,0,0,1,0,0,0,0,0,11,8.6,3.1,7.0,1.9,45,2,0
105,519,2,90,1,0,0,4,0,0,0,0,0,22,57.8,10.9,30.0,9.9,40,6,1
106,519,3,90,0,0,0,1,0,0,0,0,0,13,8.4,10.3,8.0,2.7,40,2,0
107,520,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
108,520,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
109,536,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
110,536,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
111,102,1,5,0,0,0,0,0,0,0,0,0,3,0.4,0.5,2.0,0.3,60,1,0
112,102,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
113,102,3,45,0,1,0,0,0,0,0,0,0,18,29.4,13.7,11.0,5.4,59,4,0
114,104,1,90,0,0,0,1,0,0,0,0,0,14,17.8,3.7,2.0,2.4,60,2,0
115,104,2,90,0,0,0,2,0,0,0,0,0,14,9.4,11.8,2.0,2.3,60,1,0
117,109,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
