,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
54,44,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
55,44,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
56,45,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
57,45,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
58,52,2,90,0,0,1,0,0,0,0,0,0,15,13.2,19.6,26.0,5.9,50,3,0
59,52,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
60,540,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
61,54,1,44,0,0,0,1,0,0,0,0,0,6,6.8,27.2,2.0,3.6,65,1,0
62,54,2,12,0,0,0,0,0,0,0,0,0,3,6.4,1.2,0.0,0.8,65,1,0
63,54,3,73,0,0,0,2,0,0,0,0,0,7,1.4,2.8,0.0,0.4,64,2,0
64,57,1,11,0,0,0,0,0,0,0,0,0,4,2.6,0.3,0.0,0.3,60,1,0
65,57,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
66,57,3,16,0,0,0,1,0,0,0,0,0,5,4.0,16.2,10.0,3.0,59,1,0
67,59,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
68,59,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
69,59,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
70,60,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
71,60,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
72,60,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
73,65,1,90,0,0,0,3,0,0,0,0,0,16,15.4,18.2,20.0,5.4,50,2,0
74,65,2,77,0,0,1,0,0,0,0,0,0,9,9.2,13.6,0.0,2.3,50,3,0
75,65,3,90,1,0,0,3,0,0,0,0,1,31,47.2,18.2,66.0,13.1,50,8,1
76,69,1,90,1,0,0,3,0,0,0,0,1,28,40.8,27.6,11.0,7.9,60,8,1
77,69,2,90,0,1,1,0,0,0,0,0,0,19,25.0,36.9,13.0,7.5,60,6,1
78,69,3,90,0,0,0,3,0,0,1,0,0,-3,3.0,25.0,23.0,5.1,60,1,0
79,71,1,11,0,0,0,0,0,0,0,0,0,3,4.4,0.7,0.0,0.5,55,1,0
80,71,2,1,0,0,0,0,0,0,0,0,0,4,2.0,10.4,18.0,3.0,55,1,0
81,71,3,16,0,1,0,1,0,0,1,0,0,20,24.2,30.4,10.0,6.5,55,3,0
82,72,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
83,72,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
84,72,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
85,76,1,90,0,0,0,3,0,0,0,0,0,13,8.4,3.8,5.0,1.7,45,2,0
86,76,2,88,0,0,1,0,0,0,0,1,0,3,0.0,3.9,2.0,0.3,45,0,0
87,76,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
88,79,1,78,0,0,0,3,0,0,0,0,0,14,13.4,24.0,17.0,5.4,45,2,0
89,79,2,90,0,0,1,0,0,0,0,0,0,11,6.8,13.8,2.0,2.3,45,3,0
90,79,3,90,0,0,0,3,0,0,0,0,0,25,15.8,34.7,4.0,5.5,45,2,0
