,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
160,437,1,90,0,0,0,2,0,0,0,0,0,0,5.4,11.8,63.0,8.0,65,2,0
161,437,2,90,1,0,0,2,0,0,0,0,0,17,29.4,2.6,70.0,10.2,64,6,1
162,437,3,87,0,0,1,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,64,2,0
163,441,1,23,0,0,0,1,0,0,0,0,0,2,2.4,10.7,28.0,4.1,65,1,0
164,441,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.0,64,1,0
165,441,3,2,1,0,0,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0,63,5,0
166,444,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
167,444,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
168,444,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
169,447,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
170,447,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
171,447,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
172,460,1,90,1,0,1,0,0,0,0,0,2,29,41.2,8.5,48.0,9.8,85,8,1
173,460,2,90,1,0,0,3,0,0,0,0,0,26,34.0,1.9,33.0,6.9,85,6,1
174,460,3,90,0,0,0,4,1,0,0,0,0,-1,0.0,0.0,0.0,0.0,85,0,0
175,463,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
176,463,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
177,463,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
178,476,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
179,476,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
180,476,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
181,504,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
182,504,2,12,0,0,0,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,55,1,0
183,504,3,28,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,1,0
